adventures,"[ 0.8947    1.0166   -0.79914   0.66351  -0.18812   0.36163  -1.0459
 -0.80276   0.56059  -0.38103  -0.81415   1.6294   -0.49163   0.14319
  1.0569   -0.72801   0.040447  0.3526   -0.81805   0.29385   0.42386
  0.70315   0.33717   0.60457   1.0466   -0.17301  -1.4508   -0.67137
  0.62504   0.023677  1.1853   -0.17579  -0.15389  -0.01648   0.36238
  1.1472   -1.037    -0.8192   -1.0443   -0.75304  -0.15755   0.2618
 -0.061105 -0.27601   0.066195 -0.19361   1.4198   -0.86262  -0.068659
  0.1813  ]"
wonderland,"[ 0.15958   0.59677  -1.3202    0.20065  -0.61473   0.28759  -0.72038
 -0.80844   0.91608   0.023574 -0.45128   0.68042  -0.16793  -0.23658
  0.99882   0.45572   0.59941   0.45966  -0.86407  -0.14384   0.65901
  0.45702  -0.23483   0.65101   0.66427   0.28612  -0.82922   0.65993
  0.78615  -0.45973   0.16293  -0.19428  -0.16074   0.029895 -0.1859
 -0.175     0.39624  -1.0144   -0.23484  -0.35767  -0.43868  -0.23129
 -0.21157  -0.35352  -0.28914   0.35194   0.59251  -1.3162    0.29731
  0.32944 ]"
chapter,"[ 0.33036   0.85686  -0.89838   0.25596   0.51197   0.14625   0.27606
 -0.080871  0.10337  -0.3253   -0.82573   0.53036  -0.28149   0.34164
  0.21415  -1.0905   -1.3061   -0.13665   0.24418   0.99936   0.06449
 -0.44544   0.23574   0.24042  -0.44425  -1.0008   -0.96296  -0.56431
 -0.62464  -0.64211   2.1904   -0.27473  -0.49086  -0.34813  -0.37942
 -0.5455   -0.14582  -1.0013    0.40105  -0.10893  -0.77363  -1.2059
 -0.14728   0.19831  -1.0905    1.2723    0.20889   0.15889  -0.50943
  0.16445 ]"
i,"[ 1.1891e-01  1.5255e-01 -8.2073e-02 -7.4144e-01  7.5917e-01 -4.8328e-01
 -3.1009e-01  5.1476e-01 -9.8708e-01  6.1757e-04 -1.5043e-01  8.3770e-01
 -1.0797e+00 -5.1460e-01  1.3188e+00  6.2007e-01  1.3779e-01  4.7108e-01
 -7.2874e-02 -7.2675e-01 -7.4116e-01  7.5263e-01  8.8180e-01  2.9561e-01
  1.3548e+00 -2.5701e+00 -1.3523e+00  4.5880e-01  1.0068e+00 -1.1856e+00
  3.4737e+00  7.7898e-01 -7.2929e-01  2.5102e-01 -2.6156e-01 -3.4684e-01
  5.5841e-01  7.5098e-01  4.9830e-01 -2.6823e-01 -2.7443e-03 -1.8298e-02
 -2.8096e-01  5.5318e-01  3.7706e-02  1.8555e-01 -1.5025e-01 -5.7512e-01
 -2.6671e-01  9.2121e-01]"
down,"[-0.1981   -0.70847   0.85857  -0.48108   0.51562  -0.28924  -0.64311
 -0.41966  -0.68718  -0.12307  -0.44594  -0.35226  -0.84826   0.12962
  0.20005   0.48916  -0.20257  -0.53341  -0.96196  -0.67681   0.69808
  0.50599   0.24012  -0.72813   0.11396  -1.8256    0.8098    0.65007
  0.73111  -0.50325   3.5865    0.30906  -0.14279   0.6753   -0.074059
 -0.45274  -0.28001  -0.20383   0.61044  -0.24875  -0.47409   0.25916
  0.41522   0.15245   0.093191 -0.091906  0.40082  -0.90268   0.30191
 -0.89862 ]"
alice,"[ 0.16386   0.57795  -0.59197  -0.32446   0.29762   0.85151  -0.76695
 -0.20733   0.21491  -0.51587  -0.17517   0.94459   0.12705  -0.33031
  0.75951   0.44449   0.16553  -0.19235   0.065533 -0.12394   0.61446
  0.89784   0.17413   0.41149   1.191    -0.39461  -0.459     0.022161
 -0.50843  -0.44464   0.68721  -0.7167    0.20835  -0.23437   0.02604
 -0.47993   0.31873  -0.29135   0.50273  -0.55144  -0.066692  0.43873
 -0.24293  -1.0247    0.029375  0.068499  0.25451  -1.9663    0.26673
  0.88486 ]"
beginning,"[ 2.3159e-01  1.8725e-01 -3.9507e-01 -6.8511e-01 -3.0674e-01 -3.8752e-01
 -8.5638e-01  3.6611e-02 -4.7948e-01 -2.1026e-01  2.7212e-02 -1.9848e-01
 -3.4930e-01 -4.2399e-02  9.1619e-01  2.0037e-01 -5.4785e-01 -3.3263e-01
 -6.8657e-01  2.6948e-01  7.1362e-01 -4.4818e-01  3.0306e-01 -2.3449e-03
  2.4604e-01 -1.0095e+00 -5.5377e-01 -4.0359e-01  4.2841e-01  3.9551e-01
  3.2734e+00  1.2932e-02 -4.9407e-01 -4.0354e-01 -4.3919e-02 -2.6623e-01
  5.6495e-02  1.7452e-01 -3.5422e-01  1.8872e-02 -9.5495e-01 -5.6019e-01
 -3.8309e-01 -3.3420e-01 -3.6327e-01  3.4818e-01  5.8537e-01 -2.5111e-01
 -5.9635e-01  1.1557e-01]"
tired,"[-0.11681  -0.7026   -0.14174  -1.1024    0.22646  -0.38829  -0.28045
  0.89184  -0.90749  -0.076285 -0.2267   -0.15435  -0.58873   0.29101
  0.92224   0.12662  -0.26141   0.49565   0.41466  -0.71908  -1.1231
  1.1279    0.64245   0.7492    1.1317   -1.2556   -0.22116   1.0472
  1.1708   -0.081099  1.9385    0.94505   0.58276   0.18516  -0.66371
  0.11719  -0.26635   0.40216  -0.027    -0.7879   -0.43951   0.091745
  0.052056  0.68165   0.57393  -0.051316 -0.18216  -0.5922   -0.17879
  0.58284 ]"
sitting,"[-0.24415    0.18929    0.16901   -0.74324    1.5381    -0.45637
 -0.55879    0.2991    -0.28649   -0.94383   -0.65947   -0.27727
 -0.26227    1.0192     0.60759    0.35747   -0.13863    0.36509
  0.076714  -1.1522     0.23226    0.8263     0.27354    0.38634
  0.19806   -1.3263     0.13209    0.8998    -0.0088866 -0.092616
  2.0039     0.23219   -0.28845   -0.089401  -0.027231   0.29935
  0.47435    0.49511    0.38741   -0.33453   -0.49663    0.17211
 -0.46854    0.92      -0.11131   -0.10392   -0.3588    -1.3696
  0.19625   -0.28722  ]"
sister,"[ 7.3844e-01  1.2935e+00 -1.1455e-02  9.2898e-02  5.7597e-01  1.2912e+00
 -1.0506e+00  5.7835e-01 -1.4364e-01 -4.6163e-01  4.8305e-01  5.5707e-01
 -3.2888e-01 -1.9178e-01  3.1023e-01  7.9763e-02 -1.2981e+00  1.8495e-01
  5.2382e-01  6.6812e-01 -7.5753e-02  1.4345e+00  1.8940e-01  9.8617e-01
  6.7427e-01 -1.4132e+00 -3.3093e-01 -3.6307e-01 -1.4782e-01 -6.1211e-01
  1.7107e+00  1.7398e-01  2.3408e-01  2.6432e-02  1.5820e-01 -5.0177e-01
 -3.7997e-02 -6.3127e-04  2.8831e-01 -5.7345e-01  1.3439e-01  2.2880e-02
  6.9726e-02 -9.6704e-01  1.4316e-01 -2.6588e-01 -6.3387e-01 -2.0158e+00
  2.4152e-02  5.9217e-01]"
