social,"[ 1.0132e-02  8.6960e-01 -3.7497e-01 -4.8787e-01  6.7286e-03  1.0141e+00
  5.3107e-02 -1.3147e+00 -4.6806e-01 -6.3777e-02  1.1875e-01 -1.5700e-01
 -1.8661e-01  9.3620e-02 -2.3164e-01 -4.7303e-01  2.0110e-01 -1.9909e-01
  1.2990e+00 -5.6078e-02  2.6792e-03  2.4686e-01 -6.9481e-01  2.6389e-01
  5.1338e-01 -1.0197e+00 -5.1158e-01 -1.0575e+00 -2.9798e-01  1.1449e+00
  3.6952e+00  8.3065e-01 -3.1149e-01 -1.6082e+00 -1.4995e+00  2.4215e-01
 -8.9554e-01  1.0793e-01  4.7285e-01  7.4575e-02 -3.0452e-01 -3.1313e-01
  5.8216e-02  6.9159e-01 -2.1348e-01 -1.7698e-01 -2.5885e-01  1.5551e-01
  8.9262e-01  1.4503e-01]"
spectrum,"[ 0.20176    0.49399    0.77523    0.22249   -0.12373    0.84416
 -0.13664   -1.6336     0.082894   1.0016     0.47156   -0.027829
  0.51787    0.48318   -0.98525    0.72913   -0.36449    0.013926
 -0.55712   -0.54798    0.12642    0.10139    0.45331   -0.0034961
 -0.27055   -0.044259  -0.10273   -0.24255    0.096748   0.44744
  2.2053     0.56835   -0.17197   -1.1619    -0.43612   -0.48605
 -0.14534   -0.55138   -0.40773    0.37728    0.6086     0.35046
 -0.93855    1.3921    -0.83974    0.38357    0.0053166  0.57402
 -0.51908   -0.0030965]"
sorry,"[-0.012637 -0.28711  -0.11671  -0.27832   0.47561  -0.37992   0.19051
  1.0366   -0.6656   -0.075089 -0.39538   0.8348   -0.68759  -0.53327
  1.4019    0.088433 -0.085786  0.33337   0.27621  -0.12296  -0.87634
  0.86029   0.48613   0.37848   1.7497   -1.4036   -1.0755    0.52679
  1.0106   -0.76863   1.3086    0.76273   0.37203   0.21562  -0.6906
 -0.27052   0.78807  -0.66102   0.15237  -0.56516  -0.18371  -0.39398
 -0.058573  0.26982   0.23376   0.54663  -0.82437   0.31663   0.54127
  0.93626 ]"
lobby,"[-3.4635e-04  1.7365e-01 -1.3366e-01 -4.1289e-01  3.8124e-01 -5.7029e-01
 -5.7805e-01 -4.8323e-01  6.7017e-02 -1.0624e-01 -8.3872e-01 -6.1554e-01
  4.6270e-01  1.2955e+00 -3.7214e-01  1.8144e-01  4.9286e-01  2.6887e-01
  5.8665e-01 -1.1525e+00  1.0187e+00  1.3015e-01 -1.4148e+00  3.5559e-02
 -6.5270e-01 -1.2968e+00  2.2230e-01  5.9983e-01 -3.5215e-01 -2.7352e-01
  1.5795e+00  1.9476e-01 -4.2157e-01 -3.2669e-01 -9.9403e-01 -1.6640e-01
  2.4623e-01 -6.4707e-02 -5.2763e-02 -6.0060e-02 -1.7048e-01  3.0465e-02
  1.8817e-01  7.7931e-01  5.6285e-01  3.3678e-01 -1.1594e+00 -6.3458e-01
 -1.3533e-01 -1.4868e-01]"
rallied,"[-0.96655  -0.59146   0.835     0.31923   0.52085  -0.63905  -0.89628
  0.70364  -1.4577    0.42848  -0.211    -1.4019   -0.39416  -0.32928
 -0.3516   -0.3665   -0.39589  -1.4617   -0.8812   -0.24135  -0.08784
 -0.074644 -0.41859  -0.86217  -0.52921  -0.73809   0.88513  -0.47806
 -0.15155  -0.43112   2.0652    0.94015   0.76738   0.60188  -0.32593
 -0.84665  -0.59542   0.11954   0.28591  -0.53692  -0.15452  -0.12449
  0.46034  -0.25368   0.98934   0.83284  -0.40135  -0.33687  -0.61448
 -0.83056 ]"
save,"[ 0.66845   -0.35565    0.73838   -0.7142     0.75459    0.0055673
 -0.82317    0.39542    0.63911    0.19131   -0.32646    0.32696
 -0.031726   0.20932    0.46928   -0.56377    0.88563   -0.50192
 -0.22038   -0.10971   -0.11226   -0.28042   -0.75969   -0.57244
  0.49705   -1.2179    -0.098007  -0.78631    0.73092   -0.75126
  2.7629     0.921     -0.45237    0.69381   -0.48647    0.63044
  0.17711    0.046955   0.78872   -0.80126   -0.14012   -0.19632
  0.38725   -0.12723   -0.21829    0.45513   -0.17457   -0.43887
  0.19939    0.12245  ]"
companies,"[ 0.51809   -1.1148     0.80542    0.74613   -0.51765    0.022329
 -1.1665    -0.38518    0.25655    0.36769    0.3582     0.70135
 -0.28008   -0.12265   -0.14963    0.14381   -0.1422     0.16931
  0.36557   -1.511      1.7301    -0.6053    -0.16457   -0.16064
 -0.91074   -1.3738    -0.61214   -0.93307   -0.0039919 -0.30649
  3.776      0.43728    0.65859    0.022101   0.043874  -0.846
 -0.99271    0.20027    0.14687   -0.39595   -0.25364   -0.54625
  1.224      0.72737    0.18714   -0.17607   -1.1303     0.67082
 -0.16598    0.32113  ]"
presidents,"[-0.08729   1.3693   -0.10329  -0.023395  0.0377   -0.51035  -0.26273
 -0.19788  -1.5975   -0.56161  -0.58764   0.69388  -0.24381   0.22885
  0.51013  -0.13553  -0.038609 -0.26774   0.93878  -0.54815  -0.48
  0.050935  0.80267  -0.45471  -0.53267  -1.2797    0.21174  -0.60773
 -1.2789    0.29996   1.6586    0.91842  -1.2781   -0.71118   0.59537
 -0.20161  -0.95226   0.46115  -0.80043  -0.017762 -1.2172    0.96113
  0.40797  -0.19897  -0.61243   0.86976  -0.91185   0.13407  -0.88057
 -0.80601 ]"
known,"[ 0.60235    0.55267   -0.64274    0.14886    0.092301   0.3393
 -0.48568   -0.6582    -0.18414    0.17073    0.51478    0.3889
  0.27442   -0.09793   -0.16511    0.0063649  0.37423    0.63685
 -0.57512    0.3156    -0.50853   -0.43966    0.28977    0.6577
 -0.27955   -1.5924    -1.1654    -0.21556   -0.37168    0.028765
  3.1339    -1.249     -0.1385    -0.59966    0.37827    0.17479
  0.025081  -0.16408   -0.2026     0.29866    0.020548   0.34711
 -0.36064    0.1478     0.39642   -0.15146   -0.54655   -0.81723
  0.025965  -0.053947 ]"
legend,"[-0.52745   1.2589   -0.83072   0.66565   0.11368   0.21098  -0.85084
 -0.11309  -0.4816    0.60734   0.55452   1.0638   -0.62938  -0.14256
  1.3203   -0.065447  0.40812   0.51823  -0.93203   0.056214 -0.95091
  0.30898  -0.50459   0.26492   0.71351  -1.1399   -1.4846   -0.2807
 -0.36371   0.011242  1.3257   -0.50661   0.30803   0.31664  -0.0548
  0.35731  -0.050527 -0.5806   -0.1835   -0.12739   0.15641   0.69065
 -0.59804  -0.10342   0.043139  0.37036  -0.051717 -0.72828  -0.33071
 -0.82279 ]"
